name,image_url,recipe_keys,recipe_wpp,recipe_cal,recipe_protein,recipe_carbs,recipe_fat,recipe_time,recipe_ratings,num_of_rating,recipe_share_count,recipe_summary
23 Easy Crock Pot Chicken Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/05/23-crock-pot-chicken-260x390.png,['Slow Cooker Recipes'],,,,,,8 hrs 5 mins,0,0,,This hearty and healthy chicken chili is one of my most-requested recipes. And it’s no wonder why – toss all the ingredients in the crock and leave it to cook low and slow. Come back to the most flavorful homemade taco chili!
Pumpkin Chocolate Chip Cookies,https://www.skinnytaste.com/wp-content/uploads/2023/09/230915_soft-pumpkin-chocolate-chip-cookies-12-260x390.jpg,"['Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",5,95,2.5,25.5,3.5,25 mins,0,0,1173,"These soft Pumpkin Chocolate Chip Cookies, made with pumpkin puree, pumpkin spice, and cream cheese, have a cake-like texture and lots of pumpkin flavor!"
The 4 Best Olive Oil Sprayers of 2023,https://www.skinnytaste.com/wp-content/uploads/2023/08/Oil-sprayer-hero-260x390.jpg,[],,,,,,,0,0,,
Free 7 Day Healthy Meal Plan (Sept 25-Oct 1),https://www.skinnytaste.com/wp-content/uploads/2023/09/Week_400_Sep-25-Oct-1-260x390.jpg,[],,,,,,,0,0,115,
Coconut Curry Butternut Squash Soup,https://www.skinnytaste.com/wp-content/uploads/2010/10/Coconut-Curry-Butternut-Squash-Soup-5-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",2,108,2,14.5,5,25 mins,5,16,858,"Coconut milk, curry and Indian spices compliment the flavor of the butternut squash in this savory Coconut Curry Butternut Squash Soup."
Pumpkin Bread Recipe,https://www.skinnytaste.com/wp-content/uploads/2011/10/Pumpkin-Bread-Recipe-4-260x390.jpg,"['Dairy Free', 'Vegetarian Meals']",5,103,2.1,18.7,2.2,1 hr 15 mins,4.91,30,3008,"Warm up your kitchen with the scent of pumpkin spice and bake this pumpkin bread recipe, perfect for cozy, cool fall days."
Roasted Broccoli and Cauliflower,https://www.skinnytaste.com/wp-content/uploads/2023/09/230912_roasted-broccoli-cauliflower-09-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",4,163,5,14,11,45 mins,5,2,1124,"This easy sheet pan roasted broccoli and cauliflower with Parmesan, breadcrumbs, and garlic is quick and delicious!"
Pumpkin Baked Oatmeal Cups,https://www.skinnytaste.com/wp-content/uploads/2023/09/Pumpkin-Baked-Oatmeal-Cups-9-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Meal Prep Recipes', 'Vegetarian Meals']",2,104,6,37,3,45 mins,4.70,36,8255,"These creamy, pumpkin baked oatmeal cups are perfect to make in advance for breakfast on the go this fall!"
Apple Turnover,https://www.skinnytaste.com/wp-content/uploads/2023/09/Apple-Turnovers-11-260x390.jpg,"['Dairy Free', 'Kid Friendly', 'Vegetarian Meals']",2,111,1.5,24,1,1 hr 10 mins,0,0,635,"This easy Apple Turnover recipe is filled with apples, cinnamon, and golden raisins and made with a phyllo dough crust. It’s the perfect light fall dessert or breakfast! "
Apple Cobbler Recipe,https://www.skinnytaste.com/wp-content/uploads/2021/10/Skinny-Apple-Cobbler-11-2-260x390.jpg,['Vegetarian Meals'],7,215,1.5,44.5,4,1 hr 10 mins,5,14,6706,Cozy and delicious Apple Cobbler recipe made from scratch with warm cinnamon apples and a golden cobbler crust. 
