website,airline,flight_time,num_of_stops,stops,total_flight_duration,source_to_dest,carry_on_bag,checked_bag,price,flight_class,flight_deal_provider,original_departure_date,first_leg_info,flght_times,flight_stations,flight_durations,flight_carriers,flight_layover_duration,flight_layover_locations,flight_quality_details,class_features
www.kayak.com,Scandinavian Airlines,6:30 am–9:30 am,1 stop,CPH,5h 00m,HEL-MAN,0,0,$127,Economy,eDreams, Dec 18,Scandinavian Airlines 1705,"['6:30 am', '7:15 am', '8:30 am', '9:30 am']","['Helsinki-Vantaa (HEL)', 'Kastrup Copenhagen (CPH)', 'Kastrup Copenhagen (CPH)', 'Manchester (MAN)']","['1h 45m', '2h 00m']","['Scandinavian Airlines 1705', 'Scandinavian Airlines 539  ·  Operated by SAS Connect']",['1h 15m'],['Change planes in Copenhagen (CPH)'],"[['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)'], ['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)']]",[]
www.kayak.com,Finnair,8:10 am–9:15 am,nonstop,,3h 05m,HEL-MAN,,0,$157,Economy Superlight,Kiwi.com, Dec 18,Finnair 1361,"['8:10 am', '9:15 am']","['Helsinki-Vantaa (HEL)', 'Manchester (MAN)']",['3h 05m'],['Finnair 1361'],[],[],"[['Airbus A321 (sharklets) (Narrow-body jet)', 'Streaming capable Wi-Fi (fee)', '31"" seat pitch', 'Preorder light meal (fee)']]",['Finnair Economy']
www.kayak.com,Norwegian,2:10 pm–8:15 pm,2 stops,"OSL, SVG",8h 05m,HEL-MAN,0,0,$110,LowFare,mytrip.com, Dec 18,Norwegian 1191,"['2:10 pm', '2:45 pm', '4:15 pm', '5:10 pm', '7:40 pm', '8:15 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Stavanger Sola (SVG)', 'Stavanger Sola (SVG)', 'Manchester (MAN)']","['1h 35m', '0h 55m', '1h 35m']","['Norwegian 1191', 'Norwegian 538', 'Norwegian 1326']","['1h 30m', '2h 30m']","['Change planes in Oslo (OSL)', 'Change planes in Stavanger (SVG)']","[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)']]","['Standard Economy seat ', 'Standard Economy layout', 'Streaming entertainment ']"
www.kayak.com,British Airways,8:10 am–9:15 am,nonstop,,3h 05m,HEL-MAN,1,1,$278,Standard Economy,Orbitz, Dec 18,British Airways 6003  ·  Operated by Finnair,"['8:10 am', '9:15 am']","['Helsinki-Vantaa (HEL)', 'Manchester (MAN)']",['3h 05m'],['British Airways 6003  ·  Operated by Finnair'],[],[],"[['Airbus A321 (sharklets) (Narrow-body jet)', 'Streaming capable Wi-Fi (fee)', '31"" seat pitch', 'Preorder light meal (fee)']]",[]
www.kayak.com,Scandinavian Airlines,6:30 am–9:30 am,1 stop,CPH,5h 00m,HEL-MAN,0,0,$127,Economy,eDreams, Dec 18,Scandinavian Airlines 1705,"['6:30 am', '7:15 am', '8:30 am', '9:30 am']","['Helsinki-Vantaa (HEL)', 'Kastrup Copenhagen (CPH)', 'Kastrup Copenhagen (CPH)', 'Manchester (MAN)']","['1h 45m', '2h 00m']","['Scandinavian Airlines 1705', 'Scandinavian Airlines 539  ·  Operated by SAS Connect']",['1h 15m'],['Change planes in Copenhagen (CPH)'],"[['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)'], ['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)']]",[]
www.kayak.com,KLM,7:00 am–9:55 am,1 stop,AMS,4h 55m,HEL-MAN,1,0,$190,Light,KLM, Dec 18,KLM 1164,"['7:00 am', '8:45 am', '9:40 am', '9:55 am']","['Helsinki-Vantaa (HEL)', 'Amsterdam Schiphol (AMS)', 'Amsterdam Schiphol (AMS)', 'Manchester (MAN)']","['2h 45m', '1h 15m']","['KLM 1164', 'KLM 1073']",['0h 55m'],['Change planes in Amsterdam (AMS)'],"[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'Chance of USB outlet', '30"" seat pitch', 'Light meal provided'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'Chance of USB outlet', '30"" seat pitch', 'Snacks provided']]","['Power at your seat', 'Delicious, complimentary food', 'Committed to a sustainable future', 'Europe Economy Class', 'Delicious, complimentary food', 'Delightful, complimentary refreshments ']"
www.kayak.com,KLM,6:10 pm–10:00 pm,1 stop,AMS,5h 50m,HEL-MAN,1,0,$186,Light,KLM, Dec 18,KLM 1170,"['6:10 pm', '7:50 pm', '9:45 pm', '10:00 pm']","['Helsinki-Vantaa (HEL)', 'Amsterdam Schiphol (AMS)', 'Amsterdam Schiphol (AMS)', 'Manchester (MAN)']","['2h 40m', '1h 15m']","['KLM 1170', 'KLM 1083']",['1h 55m'],['Change planes in Amsterdam (AMS)'],"[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'Chance of USB outlet', '30"" seat pitch', 'Light meal provided'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'Chance of USB outlet', '30"" seat pitch', 'Snacks provided']]","['Power at your seat', 'Delicious, complimentary food', 'Delicious, complimentary food', 'Committed to a sustainable future', 'Europe Economy Class', 'Delightful, complimentary refreshments ']"
www.kayak.com,KLM,1:55 pm–4:35 pm,1 stop,AMS,4h 40m,HEL-MAN,1,0,$244,Light,KLM, Dec 18,KLM 1168,"['1:55 pm', '3:30 pm', '4:20 pm', '4:35 pm']","['Helsinki-Vantaa (HEL)', 'Amsterdam Schiphol (AMS)', 'Amsterdam Schiphol (AMS)', 'Manchester (MAN)']","['2h 35m', '1h 15m']","['KLM 1168', 'KLM 1079']",['0h 50m'],['Change planes in Amsterdam (AMS)'],"[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'Chance of USB outlet', '30"" seat pitch', 'Light meal provided'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'Chance of USB outlet', '30"" seat pitch', 'Snacks provided']]","['Power at your seat', 'Delicious, complimentary food', 'Europe Economy Class', 'Committed to a sustainable future', 'Delicious, complimentary food', 'Delightful, complimentary refreshments ']"
www.kayak.com,Air France,5:40 pm–9:30 pm,1 stop,CDG,5h 50m,HEL-MAN,1,0,$197,Light,Air France, Dec 18,Air France 1071,"['5:40 pm', '8:00 pm', '9:00 pm', '9:30 pm']","['Helsinki-Vantaa (HEL)', 'Paris Charles de Gaulle (CDG)', 'Paris Charles de Gaulle (CDG)', 'Manchester (MAN)']","['3h 20m', '1h 30m']","['Air France 1071', 'Air France 1268']",['1h 00m'],['Change planes in Paris (CDG)'],"[['Airbus A220-300 (Narrow-body jet)', 'Streaming capable Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Light meal provided'], ['Airbus A220-300 (Narrow-body jet)', 'Streaming capable Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Light meal provided']]","['Download the Air France Play app', 'Committed to sustainability ', 'A wide selection of beverages', 'We like to set high standards']"
www.kayak.com,"Finnair, Norwegian",12:05 pm–4:10 pm,1 stop,OSL,6h 05m,HEL-MAN,0,0,$168,Economy Superlight,Kiwi.com, Dec 18,Finnair 913  ·  Operated by Norra,"['12:05 pm', '12:35 pm', '3:05 pm', '4:10 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Manchester (MAN)']","['1h 30m', '2h 05m']","['Finnair 913  ·  Operated by Norra', 'Norwegian 1348']",['2h 30m'],['Change planes in Oslo (OSL)'],"[['Embraer 190 (Narrow-body jet)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)']]",['Finnair Economy']
