website,flight_duration_and_stop,baggage_info,price,flight_info,flight_details,flight_layover
www.booking.com,1 stop · 5h 00m,['1 personal itemFits under the seat in front of youIncluded'],$138.96,"[['SAS', 'SK1705 · Economy', 'Flight time 1h 45m', 'Flight time 1 hour 45 minutes'], ['SAS', 'Operated by Sas Connect', 'SK539 · Economy', 'Flight time 2h 00m', 'Flight time 2 hours 00 minutes']]","[['Mon 18 Dec · 06:30HEL · Helsinki', 'Mon 18 Dec · 07:15CPH · Copenhagen Apt'], ['Mon 18 Dec · 08:30CPH · Copenhagen Apt', 'Mon 18 Dec · 09:30MAN · Manchester International Apt'], ['1 personal itemFits under the seat in front of youIncluded', 'Baggage policy:SAS'], ['Cabin bagFrom $12.74Available in the next steps', 'Checked bagFrom $32.92Available in the next steps']]","[['Mon 18 Dec · 06:30HEL · HelsinkiMon 18 Dec · 07:15CPH · Copenhagen Apt', 'SASSK1705 · EconomyFlight time 1h 45mFlight time 1 hour 45 minutes'], ['', 'Layover 1h 15mLayover 1 hour 15 minutes'], ['Mon 18 Dec · 08:30CPH · Copenhagen AptMon 18 Dec · 09:30MAN · Manchester International Apt', 'SASOperated by Sas ConnectSK539 · EconomyFlight time 2h 00mFlight time 2 hours 00 minutes']]"
www.booking.com,Direct · 3h 05m,['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.1 x 15.8 x 21.7 cm · Max weight 17.6\xa0lbsIncluded1 checked bagMax weight 50.7\xa0lbsIncluded'],$138.96,"[['Finnair', 'AY1361 · Economy', 'Flight time 3h 05m', 'Flight time 3 hours 05 minutes']]","[['Mon 18 Dec · 08:10HEL · Helsinki', 'Mon 18 Dec · 09:15MAN · Manchester International Apt'], ['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.1 x 15.8 x 21.7 cm · Max weight 17.6\xa0lbsIncluded1 checked bagMax weight 50.7\xa0lbsIncluded', 'Baggage policy:Finnair']]","[['Mon 18 Dec · 08:10HEL · HelsinkiMon 18 Dec · 09:15MAN · Manchester International Apt', 'FinnairAY1361 · EconomyFlight time 3h 05mFlight time 3 hours 05 minutes']]"
www.booking.com,Direct · 3h 05m,['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.8 x 17.7 x 22.1 cmIncluded1 checked bagMax weight 50.7\xa0lbsIncluded'],$138.96,"[['British Airways', 'Operated by Finnair', 'BA6003 · Economy', 'Flight time 3h 05m', 'Flight time 3 hours 05 minutes']]","[['Mon 18 Dec · 08:10HEL · Helsinki', 'Mon 18 Dec · 09:15MAN · Manchester International Apt'], ['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.8 x 17.7 x 22.1 cmIncluded1 checked bagMax weight 50.7\xa0lbsIncluded', 'Baggage policies:British Airways, Finnair']]","[['Mon 18 Dec · 08:10HEL · HelsinkiMon 18 Dec · 09:15MAN · Manchester International Apt', 'British AirwaysOperated by FinnairBA6003 · EconomyFlight time 3h 05mFlight time 3 hours 05 minutes']]"
www.booking.com,1 stop · 10h 45m,['1 personal itemFits under the seat in front of youIncluded'],$138.96,"[['SAS', 'SK2701 · Economy', 'Flight time 1h 35m', 'Flight time 1 hour 35 minutes'], ['SAS', 'SK4610 · Economy', 'Flight time 2h 15m', 'Flight time 2 hours 15 minutes']]","[['Mon 18 Dec · 11:05HEL · Helsinki', 'Mon 18 Dec · 11:40OSL · Oslo Airport'], ['Mon 18 Dec · 18:35OSL · Oslo Airport', 'Mon 18 Dec · 19:50MAN · Manchester International Apt'], ['1 personal itemFits under the seat in front of youIncluded', 'Baggage policy:SAS'], ['Cabin bagFrom $12.74Available in the next steps', 'Checked bagFrom $32.92Available in the next steps']]","[['Mon 18 Dec · 11:05HEL · HelsinkiMon 18 Dec · 11:40OSL · Oslo Airport', 'SASSK2701 · EconomyFlight time 1h 35mFlight time 1 hour 35 minutes'], ['', 'Layover 6h 55mLayover 6 hours 55 minutes'], ['Mon 18 Dec · 18:35OSL · Oslo AirportMon 18 Dec · 19:50MAN · Manchester International Apt', 'SASSK4610 · EconomyFlight time 2h 15mFlight time 2 hours 15 minutes']]"
www.booking.com,1 stop · 14h 05m,['1 personal itemFits under the seat in front of youIncluded'],$138.96,"[['SAS', 'SK1705 · Economy', 'Flight time 1h 45m', 'Flight time 1 hour 45 minutes'], ['SAS', 'Operated by Sas Connect', 'SK541 · Economy', 'Flight time 2h 00m', 'Flight time 2 hours 00 minutes']]","[['Mon 18 Dec · 06:30HEL · Helsinki', 'Mon 18 Dec · 07:15CPH · Copenhagen Apt'], ['Mon 18 Dec · 17:35CPH · Copenhagen Apt', 'Mon 18 Dec · 18:35MAN · Manchester International Apt'], ['1 personal itemFits under the seat in front of youIncluded', 'Baggage policy:SAS'], ['Cabin bagFrom $12.74Available in the next steps', 'Checked bagFrom $32.92Available in the next steps']]","[['Mon 18 Dec · 06:30HEL · HelsinkiMon 18 Dec · 07:15CPH · Copenhagen Apt', 'SASSK1705 · EconomyFlight time 1h 45mFlight time 1 hour 45 minutes'], ['', 'Layover 10h 20mLayover 10 hours 20 minutes'], ['Mon 18 Dec · 17:35CPH · Copenhagen AptMon 18 Dec · 18:35MAN · Manchester International Apt', 'SASOperated by Sas ConnectSK541 · EconomyFlight time 2h 00mFlight time 2 hours 00 minutes']]"
www.booking.com,1 stop · 5h 50m,['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.1 x 15.8 x 21.7 cm · Max weight 17.6\xa0lbsIncluded'],$138.96,"[['Finnair', 'Operated by Undefined', 'AY915 · Economy', 'Flight time 1h 35m', 'Flight time 1 hour 35 minutes'], ['SAS', 'SK4610 · Economy', 'Flight time 2h 15m', 'Flight time 2 hours 15 minutes']]","[['Mon 18 Dec · 16:00HEL · Helsinki', 'Mon 18 Dec · 16:35OSL · Oslo Airport'], ['Mon 18 Dec · 18:35OSL · Oslo Airport', 'Mon 18 Dec · 19:50MAN · Manchester International Apt'], ['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.1 x 15.8 x 21.7 cm · Max weight 17.6\xa0lbsIncluded', 'Baggage policies:Finnair, SAS'], ['Cabin bagFrom $12.74Available in the next steps']]","[['Mon 18 Dec · 16:00HEL · HelsinkiMon 18 Dec · 16:35OSL · Oslo Airport', 'FinnairOperated by UndefinedAY915 · EconomyFlight time 1h 35mFlight time 1 hour 35 minutes'], ['', 'Layover 2h 00mLayover 2 hours 00 minutes'], ['', 'Protected self transfer'], ['', 'Baggage collection in Oslo Airport. You must collect and re-check your baggage.'], ['Mon 18 Dec · 18:35OSL · Oslo AirportMon 18 Dec · 19:50MAN · Manchester International Apt', 'SASSK4610 · EconomyFlight time 2h 15mFlight time 2 hours 15 minutes']]"
www.booking.com,1 stop · 8h 30m,['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.8 x 13.8 x 21.7 cm · Max weight 26.5\xa0lbsIncluded'],$138.96,"[['KLM', 'KL1168 · Economy', 'Flight time 2h 35m', 'Flight time 2 hours 35 minutes'], ['KLM', 'Operated by KLM Cityhopper', 'KL1081 · Economy', 'Flight time 1h 15m', 'Flight time 1 hour 15 minutes']]","[['Mon 18 Dec · 13:55HEL · Helsinki', 'Mon 18 Dec · 15:30AMS · Amsterdam'], ['Mon 18 Dec · 20:10AMS · Amsterdam', 'Mon 18 Dec · 20:25MAN · Manchester International Apt'], ['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.8 x 13.8 x 21.7 cm · Max weight 26.5\xa0lbsIncluded', 'Baggage policies:KLM, KLM Cityhopper'], ['Checked bagFrom $32.92Available in the next steps']]","[['Mon 18 Dec · 13:55HEL · HelsinkiMon 18 Dec · 15:30AMS · Amsterdam', 'KLMKL1168 · EconomyFlight time 2h 35mFlight time 2 hours 35 minutes'], ['', 'Layover 4h 40mLayover 4 hours 40 minutes'], ['Mon 18 Dec · 20:10AMS · AmsterdamMon 18 Dec · 20:25MAN · Manchester International Apt', 'KLMOperated by KLM CityhopperKL1081 · EconomyFlight time 1h 15mFlight time 1 hour 15 minutes']]"
www.booking.com,2 stops · 6h 35m,['1 cabin bag21.7 x 15.8 x 9.1 cm · Max weight 17.6\xa0lbsIncluded'],$138.96,"[['Air Baltic', 'BT326 · Economy', 'Flight time 1h 00m', 'Flight time 1 hour 00 minutes'], ['Air Baltic', 'BT617 · Economy', 'Flight time 2h 25m', 'Flight time 2 hours 25 minutes'], ['Air Baltic', 'Operated by Klm', 'BT6012 · Economy', 'Flight time 1h 15m', 'Flight time 1 hour 15 minutes']]","[['Mon 18 Dec · 05:20HEL · Helsinki', 'Mon 18 Dec · 06:20RIX · Riga'], ['Mon 18 Dec · 07:35RIX · Riga', 'Mon 18 Dec · 09:00AMS · Amsterdam'], ['Mon 18 Dec · 09:40AMS · Amsterdam', 'Mon 18 Dec · 09:55MAN · Manchester International Apt'], ['1 cabin bag21.7 x 15.8 x 9.1 cm · Max weight 17.6\xa0lbsIncluded', 'Baggage policies:Air Baltic, KLM'], ['Checked bagFrom $58.80Available in the next steps']]","[['Mon 18 Dec · 05:20HEL · HelsinkiMon 18 Dec · 06:20RIX · Riga', 'Air BalticBT326 · EconomyFlight time 1h 00mFlight time 1 hour 00 minutes'], ['', 'Layover 1h 15mLayover 1 hour 15 minutes'], ['Mon 18 Dec · 07:35RIX · RigaMon 18 Dec · 09:00AMS · Amsterdam', 'Air BalticBT617 · EconomyFlight time 2h 25mFlight time 2 hours 25 minutes'], ['', 'Layover 40mLayover 40 minutes'], ['Mon 18 Dec · 09:40AMS · AmsterdamMon 18 Dec · 09:55MAN · Manchester International Apt', 'Air BalticOperated by KlmBT6012 · EconomyFlight time 1h 15mFlight time 1 hour 15 minutes']]"
www.booking.com,1 stop · 10h 05m,['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.8 x 13.8 x 21.7 cm · Max weight 26.5\xa0lbsIncluded'],$138.96,"[['KLM', 'KL1168 · Economy', 'Flight time 2h 35m', 'Flight time 2 hours 35 minutes'], ['KLM', 'KL1083 · Economy', 'Flight time 1h 15m', 'Flight time 1 hour 15 minutes']]","[['Mon 18 Dec · 13:55HEL · Helsinki', 'Mon 18 Dec · 15:30AMS · Amsterdam'], ['Mon 18 Dec · 21:45AMS · Amsterdam', 'Mon 18 Dec · 22:00MAN · Manchester International Apt'], ['1 personal itemFits under the seat in front of youIncluded1 cabin bag9.8 x 13.8 x 21.7 cm · Max weight 26.5\xa0lbsIncluded', 'Baggage policy:KLM'], ['Checked bagFrom $32.92Available in the next steps']]","[['Mon 18 Dec · 13:55HEL · HelsinkiMon 18 Dec · 15:30AMS · Amsterdam', 'KLMKL1168 · EconomyFlight time 2h 35mFlight time 2 hours 35 minutes'], ['', 'Layover 6h 15mLayover 6 hours 15 minutes'], ['Mon 18 Dec · 21:45AMS · AmsterdamMon 18 Dec · 22:00MAN · Manchester International Apt', 'KLMKL1083 · EconomyFlight time 1h 15mFlight time 1 hour 15 minutes']]"
www.booking.com,2 stops · 8h 00m,['1 cabin bag21.7 x 15.8 x 9.1 cm · Max weight 17.6\xa0lbsIncluded'],$138.96,"[['Air Baltic', 'BT306 · Economy', 'Flight time 1h 00m', 'Flight time 1 hour 00 minutes'], ['Air Baltic', 'BT603 · Economy', 'Flight time 2h 30m', 'Flight time 2 hours 30 minutes'], ['Brussels Airlines', 'SN2183 · Economy', 'Flight time 1h 20m', 'Flight time 1 hour 20 minutes']]","[['Mon 18 Dec · 15:30HEL · Helsinki', 'Mon 18 Dec · 16:30RIX · Riga'], ['Mon 18 Dec · 17:00RIX · Riga', 'Mon 18 Dec · 18:30BRU · Brussels National Airport'], ['Mon 18 Dec · 21:10BRU · Brussels National Airport', 'Mon 18 Dec · 21:30MAN · Manchester International Apt'], ['1 cabin bag21.7 x 15.8 x 9.1 cm · Max weight 17.6\xa0lbsIncluded', 'Baggage policies:Air Baltic, Brussels Airlines'], ['Checked bagFrom $58.80Available in the next steps']]","[['Mon 18 Dec · 15:30HEL · HelsinkiMon 18 Dec · 16:30RIX · Riga', 'Air BalticBT306 · EconomyFlight time 1h 00mFlight time 1 hour 00 minutes'], ['', 'Layover 30mLayover 30 minutes'], ['Mon 18 Dec · 17:00RIX · RigaMon 18 Dec · 18:30BRU · Brussels National Airport', 'Air BalticBT603 · EconomyFlight time 2h 30mFlight time 2 hours 30 minutes'], ['', 'Layover 2h 40mLayover 2 hours 40 minutes'], ['Mon 18 Dec · 21:10BRU · Brussels National AirportMon 18 Dec · 21:30MAN · Manchester International Apt', 'Brussels AirlinesSN2183 · EconomyFlight time 1h 20mFlight time 1 hour 20 minutes']]"
